,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
141,Avarua,78.8,36.0,CK,11/09/2019,74.0,-159.78,-21.21,78.8,11.41
142,Upernavik,13.1,33.0,GL,11/09/2019,76.0,-56.15,72.79,13.1,7.65
143,Comodoro Rivadavia,51.8,19.0,AR,11/09/2019,57.0,-67.48,-45.87,51.8,13.87
144,Dunedin,51.01,100.0,NZ,11/09/2019,96.0,170.5,-45.87,51.01,5.99
145,Harper,66.42,75.0,US,11/09/2019,52.0,-99.24,30.3,69.8,4.7
146,Tura,-10.43,100.0,RU,11/09/2019,98.0,100.22,64.27,-10.43,3.62
147,Nishihara,55.24,1.0,JP,11/09/2019,76.0,139.53,35.74,60.01,6.76
148,Provideniya,34.61,100.0,RU,11/09/2019,99.0,-173.23,64.42,34.61,2.44
149,Cape Town,65.44,0.0,ZA,11/09/2019,63.0,18.42,-33.93,66.2,5.82
150,Batagay-Alyta,-17.92,74.0,RU,11/09/2019,84.0,130.41,67.8,-17.92,4.12
151,Mizdah,53.06,0.0,LY,11/09/2019,83.0,12.98,31.45,53.06,2.68
152,Ribeira Grande,61.84,0.0,PT,11/09/2019,80.0,-28.7,38.52,61.84,7.58
153,Buchanan,78.8,75.0,LR,11/09/2019,94.0,-10.05,5.88,78.8,1.05
154,Cayenne,78.8,22.0,GF,11/09/2019,88.0,-52.33,4.94,78.8,3.36
155,Razole,71.08,0.0,IN,11/09/2019,82.0,81.84,16.48,71.08,2.59
156,New Plymouth,62.11,100.0,NZ,11/09/2019,95.0,174.08,-39.06,64.0,14.0
157,Staryy Nadym,-8.68,10.0,RU,11/09/2019,100.0,72.68,65.61,-8.68,5.08
158,Xichang,41.45,100.0,CN,11/09/2019,96.0,102.25,27.88,41.45,5.06
159,Mar del Plata,47.95,23.0,AR,11/09/2019,66.0,-67.52,-46.43,47.95,15.82
160,Port Lincoln,61.43,0.0,AU,11/09/2019,54.0,135.86,-34.72,61.43,6.42
161,Nacala,74.68,87.0,MZ,11/09/2019,91.0,40.69,-14.56,74.68,1.25
162,Neuquen,78.8,32.0,AR,11/09/2019,24.0,-68.06,-38.95,78.8,4.7
163,Vigrestad,32.49,40.0,NO,11/09/2019,80.0,5.7,58.57,35.01,2.24
164,Nome,61.05,1.0,US,11/09/2019,37.0,-94.42,30.04,66.2,4.7
165,Cabo San Lucas,84.65,75.0,MX,11/09/2019,51.0,-109.91,22.89,87.8,5.82
166,Ostrovnoy,17.02,97.0,RU,11/09/2019,94.0,39.51,68.05,17.02,3.31
167,Puerto Carreno,82.4,40.0,CO,11/09/2019,78.0,-67.49,6.19,82.4,6.93
168,Saint George,52.92,49.0,GR,11/09/2019,93.0,22.34,39.45,53.6,4.7
169,Butaritari,83.82,49.0,KI,11/09/2019,65.0,172.79,3.07,83.82,1.3
170,Hovd,21.47,2.0,NO,11/09/2019,85.0,10.7,63.83,25.0,6.93
171,Mercedes,73.0,13.0,UY,11/09/2019,72.0,-58.03,-33.25,73.0,10.0
172,La Libertad,64.4,18.0,PE,11/09/2019,34.0,-71.56,-16.38,64.4,4.7
173,Longyearbyen,26.6,75.0,NO,11/09/2019,73.0,15.63,78.22,26.6,16.11
174,Waipawa,63.0,52.0,NZ,11/09/2019,85.0,176.59,-39.94,63.0,5.99
175,Kargopol,32.58,100.0,RU,11/09/2019,96.0,38.95,61.51,32.58,9.24
176,Santa Cruz,72.66,100.0,BR,11/09/2019,78.0,-36.02,-6.22,72.66,8.21
177,Torbay,34.07,75.0,CA,11/09/2019,59.0,-52.73,47.66,36.0,27.51
